route,character,straight_line_m,profile,algorithm,heuristic,label,found,path_cost,ucs_optimal,optimality_ratio,nodes_expanded,max_frontier,runtime_ms,h_source,h_over_optimal,path_length
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,BFS,none,BFS,True,9.59110792204645,9.59110792204645,1.0,1184,130,0.76,0.0,0.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,DFS,none,DFS,True,476.82664574334683,9.59110792204645,49.71549164276389,6724,1436,9.83,0.0,0.0,1707
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,UCS,none,UCS,True,9.59110792204645,9.59110792204645,1.0,1500,133,6.48,0.0,0.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,IDS,none,IDS,True,9.59110792204645,9.59110792204645,1.0,3066,17,1.75,0.0,0.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,Greedy,h_old,Greedy (h_old),True,15.347040730385292,9.59110792204645,1.6001322115360683,78,34,0.37,0.1715,0.0179,49
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,A*,h_old,A* (h_old),True,9.59110792204645,9.59110792204645,1.0,1409,132,7.85,0.1715,0.0179,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,Weighted A*,h_old,Weighted A* (h_old),True,9.59110792204645,9.59110792204645,1.0,1358,129,7.83,0.1715,0.0179,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,Greedy,h_B,Greedy (h_B),True,15.347040730385292,9.59110792204645,1.6001322115360683,78,34,31.83,0.2389,0.0249,49
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,A*,h_B,A* (h_B),True,9.59110792204645,9.59110792204645,1.0,1369,131,36.47,0.2389,0.0249,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,Weighted A*,h_B,Weighted A* (h_B),True,9.59110792204645,9.59110792204645,1.0,1307,132,37.14,0.2389,0.0249,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,Greedy,h_ALT,Greedy (h_ALT),True,9.59110792204645,9.59110792204645,1.0,30,21,0.59,8.2582,0.861,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,A*,h_ALT,A* (h_ALT),True,9.59110792204645,9.59110792204645,1.0,35,21,0.6,8.2582,0.861,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,Weighted A*,h_ALT,Weighted A* (h_ALT),True,9.59110792204645,9.59110792204645,1.0,31,20,0.57,8.2582,0.861,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,BFS,none,BFS,True,7.402600278952405,7.402600278952405,1.0,1184,130,0.73,0.0,0.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,DFS,none,DFS,True,891.2366366104852,7.402600278952405,120.39507781400977,6724,1436,12.4,0.0,0.0,1707
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,UCS,none,UCS,True,7.402600278952405,7.402600278952405,1.0,420,119,2.75,0.0,0.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,IDS,none,IDS,True,7.402600278952405,7.402600278952405,1.0,3066,17,1.74,0.0,0.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,Greedy,h_old,Greedy (h_old),True,20.565826433688947,7.402600278952405,2.778189508916638,78,34,0.52,0.0245,0.0033,49
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,A*,h_old,A* (h_old),True,7.402600278952405,7.402600278952405,1.0,418,116,3.04,0.0245,0.0033,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,Weighted A*,h_old,Weighted A* (h_old),True,7.402600278952405,7.402600278952405,1.0,417,115,2.65,0.0245,0.0033,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,Greedy,h_B,Greedy (h_B),True,20.565826433688947,7.402600278952405,2.778189508916638,78,34,33.11,0.0632,0.0085,49
